date,load_0,load_1,load_2,load_3,load_4,load_5,load_6,load_7,load_8,load_9,load_10,load_11,load_12,load_13,load_14,load_15,load_16,load_17,load_18,load_19,load_20,load_21,load_22,load_23
2008-09-27 00:00:00-04:00,1.462654,1.419304,1.35823,1.305588,1.277434,1.304255,1.337237,1.360969,1.392074,1.471146,1.561622,1.617625,1.658235,1.688716,1.687825,1.67719,1.660053,1.685281,1.66766,1.667258,1.705087,1.693636,1.654384,1.577426
2008-09-28 00:00:00-04:00,1.489879,1.394177,1.321867,1.294795,1.210916,1.250377,1.308052,1.293954,1.346506,1.374372,1.426042,1.492291,1.51994,1.546691,1.582677,1.607541,1.625801,1.65877,1.653972,1.623099,1.691197,1.691353,1.624938,1.568574
2008-09-29 00:00:00-04:00,1.496893,1.389699,1.335726,1.329322,1.324279,1.334049,1.416928,1.59242,1.667378,1.712232,1.760516,1.813442,1.862121,1.843034,1.848323,1.888427,1.875662,1.884044,1.847294,1.800088,1.814009,1.791773,1.678055,1.54366
2008-09-30 00:00:00-04:00,1.4266,1.369285,1.315881,1.279703,1.256772,1.263727,1.360261,1.495612,1.607281,1.658183,1.709395,1.75209,1.72253,1.766729,1.754088,1.741346,1.728367,1.7403,1.690046,1.628026,1.704162,1.652728,1.574931,1.465467
2008-10-01 00:00:00-04:00,1.352544,1.297191,1.216932,1.213083,1.21286,1.235796,1.297678,1.440555,1.525115,1.535075,1.568676,1.587092,1.602997,1.623135,1.645732,1.641262,1.61493,1.6248,1.574932,1.588471,1.605958,1.615198,1.554147,1.433657
2008-10-02 00:00:00-04:00,1.334781,1.256397,1.198289,1.189557,1.150268,1.186408,1.259613,1.426106,1.523557,1.566901,1.589265,1.627899,1.644419,1.683437,1.658949,1.603298,1.608126,1.589585,1.605947,1.623324,1.676676,1.668106,1.581566,1.481444
2008-10-03 00:00:00-04:00,1.339101,1.281495,1.245469,1.195037,1.207325,1.208234,1.291399,1.441336,1.57537,1.615566,1.645262,1.65289,1.646282,1.641516,1.636594,1.61531,1.584595,1.580672,1.545054,1.505303,1.559837,1.554401,1.498151,1.400624
2008-10-04 00:00:00-04:00,1.284948,1.214418,1.178084,1.151524,1.138683,1.138304,1.17859,1.229641,1.293993,1.344014,1.395132,1.416698,1.417947,1.419698,1.414066,1.399558,1.388828,1.390904,1.378818,1.400546,1.464239,1.458144,1.413731,1.325412
2008-10-05 00:00:00-04:00,1.260137,1.203064,1.142114,1.116642,1.108823,1.106632,1.139739,1.17504,1.198143,1.241821,1.292134,1.318852,1.359291,1.362776,1.368708,1.363983,1.380676,1.39275,1.390621,1.407713,1.491356,1.494151,1.440785,1.353567
2008-10-06 00:00:00-04:00,1.279143,1.211514,1.155501,1.126551,1.13443,1.148177,1.23729,1.374953,1.487484,1.517509,1.565003,1.599886,1.612516,1.622933,1.628591,1.621871,1.618596,1.606925,1.582777,1.5728,1.644592,1.618028,1.553294,1.440312
2008-10-07 00:00:00-04:00,1.312555,1.25159,1.21099,1.194008,1.188963,1.199844,1.286178,1.453794,1.542857,1.583751,1.579577,1.628188,1.628111,1.628151,1.639307,1.634836,1.647908,1.619126,1.588876,1.5582,1.633775,1.609386,1.535781,1.415726
2008-10-08 00:00:00-04:00,1.30489,1.233206,1.189498,1.162821,1.15697,1.198322,1.27325,1.405661,1.509906,1.538006,1.574839,1.616201,1.643771,1.656318,1.648951,1.654241,1.660871,1.648406,1.647644,1.647788,1.680168,1.66044,1.585821,1.46275
2008-10-09 00:00:00-04:00,1.36164,1.273211,1.237401,1.196982,1.184603,1.219837,1.295935,1.417035,1.524054,1.557162,1.587156,1.612577,1.635864,1.646483,1.670729,1.665527,1.68251,1.666758,1.625878,1.601761,1.662382,1.629838,1.564043,1.447551
2008-10-10 00:00:00-04:00,1.336502,1.243853,1.203769,1.172432,1.152151,1.180508,1.256071,1.393818,1.484578,1.526533,1.574212,1.618539,1.645251,1.653464,1.660388,1.671582,1.66558,1.644962,1.594064,1.566249,1.602774,1.559992,1.49637,1.412142
2008-10-11 00:00:00-04:00,1.314737,1.225457,1.183547,1.147025,1.125896,1.130954,1.159642,1.200559,1.234586,1.294102,1.368334,1.42638,1.44808,1.451555,1.457877,1.473629,1.468084,1.464823,1.460891,1.453457,1.501957,1.505126,1.455307,1.388111
2008-10-12 00:00:00-04:00,1.30358,1.222559,1.164285,1.136717,1.104912,1.093763,1.10722,1.141478,1.170664,1.209194,1.301902,1.343488,1.393831,1.428128,1.454716,1.476892,1.487183,1.511517,1.510948,1.508001,1.581277,1.556953,1.496556,1.417949
2008-10-13 00:00:00-04:00,1.323867,1.273272,1.226097,1.208984,1.153774,1.220939,1.28284,1.359957,1.454543,1.499236,1.560378,1.617878,1.663419,1.681143,1.688676,1.714904,1.71449,1.706484,1.677934,1.656888,1.711655,1.661859,1.570947,1.463718
2008-10-14 00:00:00-04:00,1.342581,1.245338,1.225746,1.169084,1.170224,1.160734,1.277728,1.430503,1.487239,1.556342,1.610748,1.669912,1.695439,1.707828,1.734424,1.702792,1.73167,1.710269,1.706405,1.740385,1.770026,1.72411,1.646809,1.503647
2008-10-15 00:00:00-04:00,1.408815,1.324627,1.257762,1.226829,1.222897,1.140463,1.223263,1.373053,1.577369,1.60657,1.543773,1.596999,1.648314,1.689935,1.694554,1.745997,1.78209,1.800208,1.750111,1.732281,1.769581,1.74409,1.649107,1.526375
2008-10-16 00:00:00-04:00,1.418542,1.318523,1.259994,1.218256,1.201421,1.262224,1.322584,1.500945,1.633531,1.663224,1.677331,1.67779,1.687872,1.685356,1.698912,1.685619,1.657394,1.649444,1.59855,1.597894,1.651307,1.617703,1.516165,1.432173
2008-10-17 00:00:00-04:00,1.319038,1.231122,1.196102,1.159228,1.150644,1.182808,1.276052,1.412808,1.548947,1.565156,1.589068,1.645051,1.624063,1.636538,1.647823,1.624701,1.597515,1.560789,1.522407,1.538817,1.575357,1.54983,1.496293,1.416847
2008-10-18 00:00:00-04:00,1.326761,1.249974,1.210946,1.178013,1.159012,1.15916,1.197209,1.252145,1.302879,1.371306,1.429026,1.443912,1.428225,1.412488,1.388203,1.365037,1.347214,1.352849,1.367728,1.403413,1.478906,1.471412,1.43894,1.376123
2008-10-19 00:00:00-04:00,1.30118,1.234715,1.188826,1.163815,1.14922,1.15526,1.176656,1.215991,1.260329,1.308884,1.313618,1.345045,1.370218,1.362754,1.365837,1.356096,1.345258,1.353322,1.362458,1.42332,1.51859,1.508486,1.452534,1.369576
2008-10-20 00:00:00-04:00,1.301077,1.251801,1.20239,1.185499,1.200779,1.237179,1.320811,1.474912,1.588875,1.638633,1.660192,1.671138,1.661474,1.677416,1.679814,1.651077,1.636713,1.643892,1.611881,1.641037,1.693696,1.665655,1.600382,1.470655
2008-10-21 00:00:00-04:00,1.377496,1.29572,1.267831,1.246205,1.231047,1.245474,1.320316,1.469543,1.566409,1.598598,1.631662,1.646613,1.645817,1.65267,1.659099,1.649382,1.640037,1.643955,1.634338,1.666883,1.732285,1.714541,1.638355,1.535003
2008-10-22 00:00:00-04:00,1.409015,1.345022,1.30226,1.256899,1.240473,1.292767,1.369946,1.528977,1.629972,1.673433,1.680828,1.694677,1.681335,1.668115,1.670781,1.657818,1.627976,1.596792,1.58139,1.660212,1.710158,1.697381,1.637722,1.535205
2008-10-23 00:00:00-04:00,1.429354,1.368348,1.329072,1.322796,1.295005,1.308673,1.414899,1.560859,1.669772,1.688082,1.6807,1.699685,1.66055,1.661337,1.651089,1.64004,1.632782,1.622703,1.627859,1.653804,1.707388,1.675346,1.61897,1.520009
2008-10-24 00:00:00-04:00,1.424298,1.329903,1.265613,1.288363,1.270268,1.279055,1.364831,1.510252,1.620349,1.643479,1.647541,1.669196,1.686716,1.672534,1.673991,1.640834,1.611686,1.611991,1.620567,1.688241,1.701862,1.674929,1.618265,1.554279
2008-10-25 00:00:00-04:00,1.4422,1.367828,1.311249,1.288185,1.260425,1.264229,1.290636,1.323633,1.387573,1.442414,1.516818,1.54328,1.547265,1.5499,1.531103,1.518545,1.50248,1.499911,1.51797,1.537206,1.586391,1.561588,1.537335,1.482012
2008-10-26 00:00:00-04:00,1.425146,1.351175,1.297493,1.277824,1.254023,1.255243,1.288565,1.323336,1.354782,1.410189,1.452287,1.4705,1.482349,1.489002,1.491939,1.482005,1.456358,1.45029,1.446746,1.514528,1.569489,1.565898,1.494412,1.408896
2008-10-27 00:00:00-04:00,1.323346,1.254171,1.228243,1.205478,1.208599,1.243683,1.330669,1.499619,1.614033,1.636963,1.665592,1.687674,1.665734,1.673582,1.681291,1.654097,1.657833,1.656656,1.676588,1.722621,1.75716,1.716887,1.64888,1.543447
2008-10-28 00:00:00-04:00,1.429413,1.34378,1.316743,1.309523,1.285768,1.322413,1.399256,1.552225,1.645166,1.671516,1.715372,1.723762,1.722035,1.718092,1.716093,1.692861,1.682893,1.693869,1.700072,1.772537,1.785056,1.747007,1.691456,1.592983
2008-10-29 00:00:00-04:00,1.482002,1.415647,1.365654,1.352183,1.355339,1.366548,1.465933,1.610949,1.726831,1.752383,1.742111,1.764344,1.783903,1.787223,1.785706,1.768173,1.761263,1.75598,1.762614,1.80606,1.823647,1.795466,1.737521,1.625918
